ticker,date,broker_code,broker_name,buy_value,sell_value,net_value,buy_lot,sell_lot,net_lot,avg_buy_price,avg_sell_price,broker_type
BBCA.JK,2026-06-30,AK,UBS Sekuritas,1396676132.2883134,1151592813.2041702,245083319.08414316,1543,1272,271,9049.807941717385,9028.642806504517,foreign
BBCA.JK,2026-06-30,ZP,Maybank Sekuritas,2638543034.9149947,2226719021.883203,411824013.0317917,2915,2460,455,9130.521088760537,9012.549156526504,foreign
BBCA.JK,2026-06-30,CS,Credit Suisse,1715565800.084639,1514421987.641415,201143812.44322395,1895,1673,222,9026.419390512727,9117.45413687475,foreign
BBCA.JK,2026-06-30,KZ,CLSA Sekuritas,550300568.159276,450808862.0709506,99491706.08832538,608,498,110,9101.974095337822,9058.845603271233,foreign
BBCA.JK,2026-06-30,NI,BNI Sekuritas,812060989.10716,801116333.7089945,10944655.398165464,897,885,12,8998.233756241127,9058.159979972179,local
BBCA.JK,2026-06-30,DX,Bahana Sekuritas,618528832.2285005,672096435.9133409,-53567603.68484044,683,742,-59,8988.152389137502,8980.376190976278,local
BBCA.JK,2026-06-29,CC,Mandiri Sekuritas,9569731387.924122,1131650590.1043532,8438080797.819769,10946,1294,9652,8722.719255394395,8665.50754694008,local
BBCA.JK,2026-06-29,YP,Mirae Asset Sekuritas,15654265623.21902,4232065254.3647614,11422200368.85426,17906,4841,13065,8675.144883031571,8744.133009361985,local
BBCA.JK,2026-06-29,PD,Indo Premier Sekuritas,10395488596.778666,3984561753.6012297,6410926843.177436,11891,4557,7334,8738.740431603352,8751.214052136183,local
BBCA.JK,2026-06-29,OD,BRI Danareksa Sekuritas,9195799600.69481,10192746963.540838,-996947362.8460274,10519,11659,-1140,8667.32709220768,8780.499466872037,local
BBCA.JK,2026-06-29,AK,UBS Sekuritas,962231097.1297882,10628761942.729319,-9666530845.599531,1100,12158,-11058,8704.46206409509,8817.143503560294,foreign
BBCA.JK,2026-06-29,ZP,Maybank Sekuritas,2030251143.9554396,5620422628.541784,-3590171484.5863447,2322,6429,-4107,8683.370303620752,8786.106813030796,foreign
BBCA.JK,2026-06-29,CS,Credit Suisse,776074314.4357975,8367534561.76656,-7591460247.330762,887,9571,-8684,8699.436731299931,8669.309020777364,foreign
BBCA.JK,2026-06-29,KZ,CLSA Sekuritas,11871866925.45485,8498612462.226918,3373254463.227931,13580,9721,3859,8747.740845802025,8803.074162289953,foreign
BBCA.JK,2026-06-29,NI,BNI Sekuritas,9423501834.481562,10796195403.832113,-1372693569.3505516,10779,12349,-1570,8725.418232499931,8759.460408150118,local
BBCA.JK,2026-06-29,DX,Bahana Sekuritas,6902829863.330066,6090935110.517598,811894752.8124676,7896,6967,929,8712.720812341959,8763.327842534016,local
BBCA.JK,2026-06-26,CC,Mandiri Sekuritas,19174070877.49578,3392285821.4578886,15781785056.037891,21692,3837,17855,8808.057278401406,8910.562125020524,local
BBCA.JK,2026-06-26,YP,Mirae Asset Sekuritas,6534418293.803459,1514623044.5792007,5019795249.224258,7392,1713,5679,8917.935976964309,8824.576212947299,local
BBCA.JK,2026-06-26,PD,Indo Premier Sekuritas,3014358213.0783415,508081120.34005857,2506277092.738283,3410,574,2836,8782.029772367669,8820.573307134204,local
BBCA.JK,2026-06-26,OD,BRI Danareksa Sekuritas,6048670720.187644,6620051817.2479105,-571381097.0602665,6843,7489,-646,8891.48054695628,8903.500628173968,local
BBCA.JK,2026-06-26,AK,UBS Sekuritas,788962682.3774831,3722893391.93898,-2933930709.5614967,892,4211,-3319,8800.384749404564,8776.850880422571,foreign
BBCA.JK,2026-06-26,ZP,Maybank Sekuritas,5926359375.553778,19706994342.344677,-13780634966.7909,6704,22295,-15591,8869.88762691796,8838.885351286972,foreign
BBCA.JK,2026-06-26,CS,Credit Suisse,1329538342.8929894,16997318308.609339,-15667779965.716349,1504,19229,-17725,8868.365947284188,8790.727782900925,foreign
BBCA.JK,2026-06-26,KZ,CLSA Sekuritas,10963712438.573048,8074297874.200783,2889414564.372265,12403,9134,3269,8780.944185741668,8886.408526305915,foreign
BBCA.JK,2026-06-26,NI,BNI Sekuritas,2013445965.791467,2329981418.559607,-316535452.7681401,2277,2635,-358,8830.402865679085,8751.223150999453,local
BBCA.JK,2026-06-26,DX,Bahana Sekuritas,9550583968.197954,12139018086.182121,-2588434117.984167,10804,13733,-2929,8822.453174919534,8925.450566398913,local
BBCA.JK,2026-06-25,CC,Mandiri Sekuritas,1918532521.6423044,4672202514.177958,-2753669992.535653,2085,5078,-2993,9199.479724660247,9271.608781328325,local
BBCA.JK,2026-06-25,YP,Mirae Asset Sekuritas,1749057058.2335773,9449324938.673471,-7700267880.439894,1901,10271,-8370,9236.21448843591,9238.18879639154,local
BBCA.JK,2026-06-25,PD,Indo Premier Sekuritas,522300466.9011605,3465575736.9442387,-2943275270.0430784,567,3767,-3200,9152.843672090055,9114.255444345052,local
BBCA.JK,2026-06-25,OD,BRI Danareksa Sekuritas,4125304302.19054,5874476195.986423,-1749171893.7958827,4484,6385,-1901,9246.566609279127,9224.792590533594,local
BBCA.JK,2026-06-25,AK,UBS Sekuritas,4967746350.855604,1151778788.3599348,3815967562.4956694,5399,1251,4148,9255.402485048051,9265.151707745508,foreign
BBCA.JK,2026-06-25,ZP,Maybank Sekuritas,6763964427.860233,2013152468.3666477,4750811959.493586,7352,2188,5164,9235.668776150836,9256.033229223674,foreign
BBCA.JK,2026-06-25,CS,Credit Suisse,4103760779.406576,1741036786.501476,2362723992.9051,4460,1892,2568,9283.060417594981,9248.757139079282,foreign
BBCA.JK,2026-06-25,KZ,CLSA Sekuritas,4387447641.839485,5859146208.996178,-1471698567.1566925,4769,6368,-1599,9272.405196613527,9187.692892369058,foreign
BBCA.JK,2026-06-25,NI,BNI Sekuritas,4801548587.804464,4933860486.875253,-132311899.07078838,5219,5363,-144,9151.86544274138,9237.840356276169,local
BBCA.JK,2026-06-25,DX,Bahana Sekuritas,2411719146.246101,2399778530.628263,11940615.617837906,2621,2608,13,9291.506018178658,9282.556080280881,local
BBCA.JK,2026-06-24,CC,Mandiri Sekuritas,400891556.9535579,3261854493.43962,-2860962936.486062,456,3711,-3255,8792.505400530761,8737.337875314954,local
BBCA.JK,2026-06-24,YP,Mirae Asset Sekuritas,4281672560.394546,16798765883.773565,-12517093323.379019,4872,19115,-14243,8718.521012034484,8872.817705894478,local
BBCA.JK,2026-06-24,PD,Indo Premier Sekuritas,434683470.50601554,7196905659.502363,-6762222188.996347,494,8189,-7695,8791.133432703171,8814.78130956278,local
BBCA.JK,2026-06-24,OD,BRI Danareksa Sekuritas,2688380190.799157,2075286157.9138288,613094032.8853283,3059,2361,698,8736.190682366252,8759.978875683455,local
BBCA.JK,2026-06-24,AK,UBS Sekuritas,26456545408.88068,1757311237.4205294,24699234171.46015,30105,1999,28106,8853.337738584538,8794.591727727237,foreign
BBCA.JK,2026-06-24,ZP,Maybank Sekuritas,3729285283.547456,1233195441.0802422,2496089842.4672136,4243,1403,2840,8748.50112670438,8746.404011809138,foreign
BBCA.JK,2026-06-24,CS,Credit Suisse,11305446517.11366,3424058436.3998184,7881388080.713842,12864,3896,8968,8834.45208141698,8764.441221338255,foreign
BBCA.JK,2026-06-24,KZ,CLSA Sekuritas,19629249722.996346,14203603499.756226,5425646223.24012,22336,16162,6174,8734.806973875475,8848.31614874712,foreign
BBCA.JK,2026-06-24,NI,BNI Sekuritas,6207675715.222751,7565512364.746145,-1357836649.5233946,7063,8609,-1546,8772.785697092811,8721.757497172275,local
BBCA.JK,2026-06-24,DX,Bahana Sekuritas,4184637561.346973,5958288873.4695635,-1773651312.1225905,4761,6780,-2019,8736.023876902198,8742.816079863058,local
BBCA.JK,2026-06-23,CC,Mandiri Sekuritas,6198435583.839795,773149387.7638166,5425286196.075978,7005,873,6132,8864.95111173742,8929.124067050669,local
BBCA.JK,2026-06-23,YP,Mirae Asset Sekuritas,4460126568.723819,1521319393.3568144,2938807175.3670044,5040,1719,3321,8824.271798717069,8796.978300440851,local
BBCA.JK,2026-06-23,PD,Indo Premier Sekuritas,1985804064.6851535,528411917.0890845,1457392147.5960689,2244,597,1647,8840.36943321765,8826.964523783681,local
BBCA.JK,2026-06-23,OD,BRI Danareksa Sekuritas,4010918973.581123,4451475812.16766,-440556838.5865369,4533,5030,-497,8914.019220207547,8909.946718718595,local
BBCA.JK,2026-06-23,AK,UBS Sekuritas,670940705.3730304,2922631865.4891753,-2251691160.116145,758,3303,-2545,8765.70967341405,8806.621946634297,foreign
BBCA.JK,2026-06-23,ZP,Maybank Sekuritas,2026191904.3409305,7010544107.121027,-4984352202.780096,2289,7923,-5634,8800.968397544799,8855.529166218304,foreign
BBCA.JK,2026-06-23,CS,Credit Suisse,2029396446.2536936,10249333513.801785,-8219937067.548091,2293,11583,-9290,8823.624012788732,8840.74535174408,foreign
BBCA.JK,2026-06-23,KZ,CLSA Sekuritas,6853295599.697881,8415159191.680405,-1561863591.982524,7745,9510,-1765,8836.535447850045,8864.407763229709,foreign
BBCA.JK,2026-06-23,NI,BNI Sekuritas,7180275485.108081,5831232580.050885,1349042905.0571957,8114,6590,1524,8936.51891113734,8930.771492246407,local
BBCA.JK,2026-06-23,DX,Bahana Sekuritas,5728787804.99213,8286454881.428271,-2557667076.436141,6474,9365,-2891,8823.966341645226,8775.009596216301,local
BBCA.JK,2026-06-22,CC,Mandiri Sekuritas,576889022.6537187,4361978467.79231,-3785089445.138591,628,4755,-4127,9144.913753736444,9230.433038364474,local
BBCA.JK,2026-06-22,YP,Mirae Asset Sekuritas,2384476719.5978594,9850826088.30893,-7466349368.71107,2599,10740,-8141,9131.368843350934,9150.965200630542,local
BBCA.JK,2026-06-22,PD,Indo Premier Sekuritas,740852676.947148,1820196154.8443904,-1079343477.8972425,807,1984,-1177,9212.118783729265,9221.01434826948,local
BBCA.JK,2026-06-22,OD,BRI Danareksa Sekuritas,2932226888.80614,2863657261.281852,68569627.52428818,3197,3122,75,9124.779315573285,9165.867194422613,local
BBCA.JK,2026-06-22,AK,UBS Sekuritas,12972335294.109287,3095785656.961594,9876549637.147694,14144,3375,10769,9260.121348869136,9200.075585376642,foreign
BBCA.JK,2026-06-22,ZP,Maybank Sekuritas,10432881662.122866,3075711422.744308,7357170239.378557,11375,3353,8022,9083.335569439207,9238.314987057067,foreign
BBCA.JK,2026-06-22,CS,Credit Suisse,9476992498.972246,1378509385.59421,8098483113.3780365,10333,1503,8830,9215.361418896899,9225.153977860067,foreign
BBCA.JK,2026-06-22,KZ,CLSA Sekuritas,3652021877.5414147,5001637293.9489975,-1349615416.4075828,3981,5453,-1472,9082.51629569624,9088.585735500945,foreign
BBCA.JK,2026-06-22,NI,BNI Sekuritas,10726126568.27215,8896816557.283083,1829310010.989067,11694,9700,1994,9251.37718879112,9229.778619652034,local
BBCA.JK,2026-06-22,DX,Bahana Sekuritas,2772415300.423135,3455075718.178576,-682660417.7554412,3022,3767,-745,9105.220312969817,9090.180331865582,local
BBCA.JK,2026-06-19,CC,Mandiri Sekuritas,2144809656.7091463,7270007556.604057,-5125197899.894911,2386,8088,-5702,8925.453669296565,8961.194237643975,local
BBCA.JK,2026-06-19,YP,Mirae Asset Sekuritas,990198685.9581409,6735367792.435879,-5745169106.477737,1101,7493,-6392,9012.517077786828,8993.305721164272,local
BBCA.JK,2026-06-19,PD,Indo Premier Sekuritas,1050973923.3417892,11835276391.252909,-10784302467.91112,1169,13167,-11998,8924.673141995996,8989.900571246271,local
BBCA.JK,2026-06-19,OD,BRI Danareksa Sekuritas,6687151850.412213,9069395044.545103,-2382243194.1328897,7439,10090,-2651,9063.8903617514,8986.94471429579,local
BBCA.JK,2026-06-19,AK,UBS Sekuritas,1996261627.713436,555386034.7396305,1440875592.9738054,2220,617,1603,9066.3049566237,8952.002632672908,foreign
BBCA.JK,2026-06-19,ZP,Maybank Sekuritas,11659024878.17623,4597921199.680952,7061103678.495277,12971,5115,7856,9047.792729664041,8961.157982848168,foreign
BBCA.JK,2026-06-19,CS,Credit Suisse,4146942492.3397613,836937154.7762533,3310005337.563508,4613,931,3682,8917.218749147183,8956.401037883865,foreign
BBCA.JK,2026-06-19,KZ,CLSA Sekuritas,6538626431.237545,7552639352.329964,-1014012921.0924187,7274,8402,-1128,9066.717331661326,9022.571099680721,foreign
BBCA.JK,2026-06-19,NI,BNI Sekuritas,2131250290.3965511,2869576611.631261,-738326321.2347097,2371,3192,-821,8965.576730427038,8928.269960209693,local
BBCA.JK,2026-06-19,DX,Bahana Sekuritas,4597089870.588724,4036983549.990925,560106320.5977993,5114,4491,623,9027.573595561033,8980.578271801229,local
BBCA.JK,2026-06-18,CC,Mandiri Sekuritas,8704721845.446838,8441941144.831851,262780700.61498737,9976,9675,301,8692.777342311252,8726.464742217471,local
BBCA.JK,2026-06-18,YP,Mirae Asset Sekuritas,1386858187.5965223,1444072952.0102892,-57214764.41376686,1589,1655,-66,8647.48892641146,8642.831322192436,local
BBCA.JK,2026-06-18,PD,Indo Premier Sekuritas,4239404831.6177306,4155023505.683454,84381325.93427658,4858,4761,97,8801.235616835187,8650.990845113976,local
BBCA.JK,2026-06-18,OD,BRI Danareksa Sekuritas,8959316927.583916,10007190344.110043,-1047873416.5261269,10267,11468,-1201,8755.080181697744,8651.737787900785,local
BBCA.JK,2026-06-18,AK,UBS Sekuritas,7104865351.313281,6589057482.644904,515807868.6683769,8142,7551,591,8788.852825210988,8639.197463180557,foreign
BBCA.JK,2026-06-18,ZP,Maybank Sekuritas,3199761535.44522,2795554353.3588505,404207182.0863695,3667,3203,464,8716.753652482714,8664.548840667214,foreign
BBCA.JK,2026-06-18,CS,Credit Suisse,2797374489.560415,2651194235.6824546,146180253.8779602,3205,3038,167,8651.708834438112,8795.643730867077,foreign
BBCA.JK,2026-06-18,KZ,CLSA Sekuritas,4285353759.109219,4618310245.332467,-332956486.223248,4911,5292,-381,8700.172854587094,8760.118970677739,foreign
BBCA.JK,2026-06-18,NI,BNI Sekuritas,6966125717.601312,5979284232.125709,986841485.4756031,7983,6852,1131,8675.738617654364,8643.683084318947,local
BBCA.JK,2026-06-18,DX,Bahana Sekuritas,8825880836.640402,8321375515.537367,504505321.103035,10115,9536,579,8797.48262195067,8810.386709152966,local
BBCA.JK,2026-06-17,CC,Mandiri Sekuritas,1021505952.3291925,293253972.40900195,728251979.9201906,1171,336,835,8656.44039532269,8653.074175328895,local
BBCA.JK,2026-06-17,YP,Mirae Asset Sekuritas,2369539408.165088,163362551.8909512,2206176856.274137,2717,187,2530,8678.809142727778,8680.632062184932,local
BBCA.JK,2026-06-17,PD,Indo Premier Sekuritas,4034238996.8395996,1679165924.6468794,2355073072.1927204,4625,1925,2700,8772.29723165434,8797.453633599867,local
BBCA.JK,2026-06-17,OD,BRI Danareksa Sekuritas,533880656.6319359,674765044.017597,-140884387.38566107,612,773,-161,8646.926568848397,8685.129076479752,local
BBCA.JK,2026-06-17,AK,UBS Sekuritas,659711874.707454,6929566958.510526,-6269855083.803072,756,7946,-7190,8728.007313306673,8646.570687013038,foreign
BBCA.JK,2026-06-17,ZP,Maybank Sekuritas,164753495.12433246,1534032527.4288538,-1369279032.3045213,188,1759,-1571,8768.022508917456,8713.915735644123,foreign
BBCA.JK,2026-06-17,CS,Credit Suisse,710265789.7931147,1689825765.3463438,-979559975.5532291,814,1937,-1123,8680.643342320618,8678.49254858023,foreign
BBCA.JK,2026-06-17,KZ,CLSA Sekuritas,3103582148.208761,2514996696.9943438,588585451.2144175,3558,2883,675,8690.761779756991,8701.525073449297,foreign
BBCA.JK,2026-06-17,NI,BNI Sekuritas,3000241280.55056,2115888486.3728676,884352794.1776924,3440,2426,1014,8679.184410209098,8699.012707835922,local
BBCA.JK,2026-06-17,DX,Bahana Sekuritas,2524939609.5980973,1812160902.3320851,712778707.2660122,2895,2077,818,8719.92322691108,8709.46931664575,local
BBCA.JK,2026-06-16,CC,Mandiri Sekuritas,1887152727.0071914,4623039081.729384,-2735886354.722193,2164,5303,-3139,8668.421071588302,8702.577977047555,local
BBCA.JK,2026-06-16,YP,Mirae Asset Sekuritas,324899950.39798194,990472667.1717092,-665572716.7737272,372,1136,-764,8782.204228224105,8669.885843523358,local
BBCA.JK,2026-06-16,PD,Indo Premier Sekuritas,452766787.0341979,2344878281.7154827,-1892111494.681285,519,2689,-2170,8780.743090968566,8635.475529983274,local
BBCA.JK,2026-06-16,OD,BRI Danareksa Sekuritas,3080454335.6457767,2577872047.9308662,502582287.7149105,3533,2957,576,8795.308554309,8766.173118810973,local
BBCA.JK,2026-06-16,AK,UBS Sekuritas,6572940386.192708,688308125.1162561,5884632261.076452,7539,789,6750,8744.12034430581,8715.023875591596,foreign
BBCA.JK,2026-06-16,ZP,Maybank Sekuritas,3105885742.909779,494435795.9097669,2611449947.0000124,3562,567,2995,8798.974307662284,8746.95255945433,foreign
BBCA.JK,2026-06-16,CS,Credit Suisse,4886958806.259985,2078055739.492796,2808903066.767189,5605,2383,3222,8688.284914894297,8691.655809177637,foreign
BBCA.JK,2026-06-16,KZ,CLSA Sekuritas,2701243399.381585,1927901161.4026544,773342237.9789307,3098,2211,887,8686.032991728862,8635.981097985241,foreign
BBCA.JK,2026-06-16,NI,BNI Sekuritas,1255367651.021167,991668486.1656873,263699164.85547972,1440,1137,303,8702.01868256699,8740.646769233765,local
BBCA.JK,2026-06-16,DX,Bahana Sekuritas,3253824096.8310933,2429509983.423495,824314113.4075985,3732,2786,946,8721.18087576375,8771.34949673818,local
BBCA.JK,2026-06-15,CC,Mandiri Sekuritas,455516932.48618317,3017026961.837699,-2561510029.351516,491,3257,-2766,9324.324356736151,9285.96709490314,local
BBCA.JK,2026-06-15,YP,Mirae Asset Sekuritas,1478668258.8724055,11177723931.785938,-9699055672.913532,1596,12067,-10471,9264.256069844654,9213.979935661777,local
BBCA.JK,2026-06-15,PD,Indo Premier Sekuritas,1334831789.132725,7558572695.573804,-6223740906.441079,1441,8159,-6718,9229.347564414176,9279.134425402875,local
BBCA.JK,2026-06-15,OD,BRI Danareksa Sekuritas,2166736004.311095,1539894005.4678304,626841998.8432648,2339,1662,677,9186.28211857482,9286.286125957893,local
BBCA.JK,2026-06-15,AK,UBS Sekuritas,9338517063.875769,3895675798.2130513,5442841265.662718,10081,4205,5876,9272.472072095705,9306.530200614747,foreign
BBCA.JK,2026-06-15,ZP,Maybank Sekuritas,9327522743.201605,1914998792.5960486,7412523950.6055565,10069,2067,8002,9299.841389600937,9183.713043864409,foreign
BBCA.JK,2026-06-15,CS,Credit Suisse,12078671469.643845,2230948225.9078255,9847723243.73602,13039,2408,10631,9333.964183491047,9236.60886110751,foreign
BBCA.JK,2026-06-15,KZ,CLSA Sekuritas,7719466998.75747,7588498130.474195,130968868.2832756,8333,8192,141,9290.354538723459,9194.197667942148,foreign
BBCA.JK,2026-06-15,NI,BNI Sekuritas,3151208181.0851254,2813797331.8500915,337410849.235034,3401,3037,364,9206.882732907565,9199.68882440704,local
BBCA.JK,2026-06-15,DX,Bahana Sekuritas,10292688745.12611,10185233685.821247,107455059.30486298,11111,10995,116,9323.0177350427,9295.186885721589,local
BBCA.JK,2026-06-12,CC,Mandiri Sekuritas,558863261.8437366,1345147100.2047539,-786283838.3610172,617,1486,-869,9040.790859636332,9003.932457608656,local
BBCA.JK,2026-06-12,YP,Mirae Asset Sekuritas,1362086933.2172453,9951690164.729988,-8589603231.512743,1504,10995,-9491,9092.678456482172,8966.181001662222,local
BBCA.JK,2026-06-12,PD,Indo Premier Sekuritas,797797622.1941887,7154873995.753044,-6357076373.558855,881,7905,-7024,9097.889197495111,8963.580409466125,local
BBCA.JK,2026-06-12,OD,BRI Danareksa Sekuritas,2472527136.223363,3195155121.4725533,-722627985.2491903,2731,3530,-799,9120.431220459679,9079.613647844171,local
BBCA.JK,2026-06-12,AK,UBS Sekuritas,9352374045.906097,2067255776.0789542,7285118269.827143,10333,2284,8049,8996.715006362212,9021.375800450243,foreign
BBCA.JK,2026-06-12,ZP,Maybank Sekuritas,8816039825.571238,1008116224.0827171,7807923601.488521,9740,1113,8627,9115.69864101775,9019.27463968398,foreign
BBCA.JK,2026-06-12,CS,Credit Suisse,3742936755.0296807,325006059.47445035,3417930695.55523,4135,359,3776,9000.543032024621,9079.438141496714,foreign
BBCA.JK,2026-06-12,KZ,CLSA Sekuritas,4937637689.56388,5418846805.193044,-481209115.62916374,5455,5987,-532,9040.849482752377,8963.975582897656,foreign
BBCA.JK,2026-06-12,NI,BNI Sekuritas,4588703569.682404,5925513085.778144,-1336809516.0957403,5069,6547,-1478,9106.558619441494,9002.956897798073,local
BBCA.JK,2026-06-12,DX,Bahana Sekuritas,4215306995.2033467,6301547408.647047,-2086240413.4437003,4657,6962,-2305,8989.78756584361,9106.191463861194,local
BBCA.JK,2026-06-11,CC,Mandiri Sekuritas,6424418767.585774,6508779427.34932,-84360659.76354599,7193,7288,-95,8929.86022489293,8956.487019030012,local
BBCA.JK,2026-06-11,YP,Mirae Asset Sekuritas,7711917950.366267,8301566468.412151,-589648518.0458841,8635,9295,-660,8876.449634626324,8901.485536359918,local
BBCA.JK,2026-06-11,PD,Indo Premier Sekuritas,905273006.7444445,1089070432.1730113,-183797425.4285668,1013,1219,-206,8967.560309418966,8940.133752647278,local
BBCA.JK,2026-06-11,OD,BRI Danareksa Sekuritas,9512759306.975035,8033813712.623087,1478945594.3519478,10652,8996,1656,8933.408490880814,9007.849559836397,local
BBCA.JK,2026-06-11,AK,UBS Sekuritas,7717399604.352641,6559396712.235187,1158002892.1174545,8641,7345,1296,8874.056630013503,9008.53055037878,foreign
BBCA.JK,2026-06-11,ZP,Maybank Sekuritas,1260532285.1044881,1033923081.9070799,226609203.1974082,1411,1157,254,9003.28601617488,8866.682835205816,foreign
BBCA.JK,2026-06-11,CS,Credit Suisse,5203519433.549503,5763638089.107842,-560118655.5583391,5826,6453,-627,8951.547206440253,8916.012708576749,foreign
BBCA.JK,2026-06-11,KZ,CLSA Sekuritas,1781340705.5480363,2095940194.2662532,-314599488.7182169,1994,2346,-352,8848.102806677223,8912.428905740051,foreign
BBCA.JK,2026-06-11,NI,BNI Sekuritas,4794430911.177893,5552956635.73527,-758525724.5573769,5368,6218,-850,9019.353945516668,8954.79739209405,local
BBCA.JK,2026-06-11,DX,Bahana Sekuritas,4790649209.236012,5636321763.303714,-845672554.0677013,5364,6311,-947,8911.127396784912,8888.47931199441,local
BBCA.JK,2026-06-10,CC,Mandiri Sekuritas,4732417026.159177,910288558.5860579,3822128467.573119,5448,1048,4400,8640.700213863216,8748.268615686642,local
BBCA.JK,2026-06-10,YP,Mirae Asset Sekuritas,1103654549.2812269,187858683.59089446,915795865.6903324,1270,216,1054,8698.680095561838,8690.653862732766,local
BBCA.JK,2026-06-10,PD,Indo Premier Sekuritas,4298859853.038517,1412534117.6627288,2886325735.375788,4949,1626,3323,8644.24595918532,8668.4059830999,local
BBCA.JK,2026-06-10,OD,BRI Danareksa Sekuritas,1712963680.7263887,2287778516.668072,-574814835.9416835,1972,2634,-662,8711.15320055958,8658.3823256371,local
BBCA.JK,2026-06-10,AK,UBS Sekuritas,1259864924.8406048,3855866217.503826,-2596001292.6632214,1450,4439,-2989,8727.05199261354,8739.509514171397,foreign
BBCA.JK,2026-06-10,ZP,Maybank Sekuritas,181228681.1505552,467472650.50082463,-286243969.35026944,208,538,-330,8705.098227610326,8680.061250751443,foreign
BBCA.JK,2026-06-10,CS,Credit Suisse,479656808.60466945,2431147731.6741514,-1951490923.0694818,552,2799,-2247,8747.883527255151,8652.415115737827,foreign
BBCA.JK,2026-06-10,KZ,CLSA Sekuritas,1191607104.8852391,1518507774.9502783,-326900670.06503916,1371,1748,-377,8643.689285014885,8663.818514358973,foreign
BBCA.JK,2026-06-10,NI,BNI Sekuritas,2322043964.9170504,2729220947.362755,-407176982.44570446,2673,3142,-469,8649.046556753312,8606.557428623,local
BBCA.JK,2026-06-10,DX,Bahana Sekuritas,986567399.1896536,815384330.0843017,171183069.10535192,1135,938,197,8700.957473625953,8646.656368285407,local
BBCA.JK,2026-06-09,CC,Mandiri Sekuritas,4301264940.965414,4682834321.556755,-381569380.591341,4596,5003,-407,9272.134277618274,9349.473658683055,local
BBCA.JK,2026-06-09,YP,Mirae Asset Sekuritas,1825693003.5895028,1713975318.6653209,111717684.92418194,1950,1831,119,9322.57220332095,9365.76304577212,local
BBCA.JK,2026-06-09,PD,Indo Premier Sekuritas,3312839411.899323,3962597573.6190033,-649758161.7196803,3539,4234,-695,9269.490246642483,9323.732721875127,local
BBCA.JK,2026-06-09,OD,BRI Danareksa Sekuritas,4459192933.018653,4659635269.073368,-200442336.05471516,4764,4978,-214,9394.391888620454,9333.10602785915,local
BBCA.JK,2026-06-09,AK,UBS Sekuritas,1368764471.305194,1331966381.2232761,36798090.08191776,1462,1423,39,9326.534917646066,9385.262534737818,foreign
BBCA.JK,2026-06-09,ZP,Maybank Sekuritas,1487365649.9722514,1456792872.5749087,30572777.397342682,1589,1556,33,9396.387235552045,9385.778086272332,foreign
BBCA.JK,2026-06-09,CS,Credit Suisse,1169813337.63374,1076838924.8532152,92974412.78052473,1249,1150,99,9418.264519709364,9317.053918826761,foreign
